t_	V_m_	I_Stim_	d_dVdt_	I_Na_	I_CaL_	I_Ca_junc_	I_Ca_sl_	I_Kur_	I_to_	I_Kr_	I_Kss_	I_K1_	I_NCX_	I_Cap_	I_Nak_	I_Nab_	I_Cab_	I_Cl_	J_SERCA_	J_SRCarel_	J_SRleak_	RyR_O_	RyR_R_	RyR_I_	RyR_RI_	Ca_junc_	Ca_sl_	Ca_i_	Ca_sr_	Na_junc_	Na_sl_	Na_myo_	K_i_	CaMKII_junc_	Phos_LCC_CK_	Phos_RyR_CK_	Phos_PLB_CK_
0.000000	-79.649140	9.500000	9.487139	-0.000032	-0.000597	-0.000557	-0.000040	0.021630	0.000670	0.000346	0.070683	0.229771	-0.038999	0.010466	0.206447	-0.173547	-0.146927	-0.167050	0.012839	0.103477	6.043106	0.000008	0.684408	0.000004	0.315580	0.578193	0.135794	0.074757	514.702564	11.615769	11.615783	11.615790	135.000000	21.266519	78.138121	23.957191	1.559040
1.000000	-70.774022	9.500000	8.473299	-0.002761	-0.000753	-0.000696	-0.000057	0.085875	0.003191	0.000878	0.177632	0.932317	-0.033963	0.010494	0.234084	-0.162154	-0.139684	-0.078455	0.012817	0.103632	6.043638	0.000008	0.684683	0.000004	0.315305	0.582004	0.135779	0.074751	514.790208	11.615734	11.615761	11.615769	135.000000	21.205289	78.120472	23.953317	1.558623
2.000000	-62.401736	9.500000	8.324123	-0.090623	-0.001869	-0.001707	-0.000162	0.198647	0.012700	0.001425	0.272700	0.836166	-0.029336	0.010533	0.254996	-0.152505	-0.133542	-0.003415	0.012798	0.103865	6.044088	0.000008	0.684945	0.000004	0.315043	0.587658	0.135793	0.074747	514.877384	11.615704	11.615736	11.615745	135.000000	21.150974	78.104593	23.949833	1.558248
3.000000	-53.697615	9.500000	9.832640	-1.788782	-0.005556	-0.005053	-0.000503	0.393004	0.045196	0.002226	0.378677	0.580866	-0.024384	0.010595	0.273351	-0.142777	-0.127337	0.072270	0.012783	0.104218	6.044477	0.000008	0.685190	0.000004	0.314798	0.596875	0.135857	0.074744	514.964078	11.615877	11.615765	11.615743	135.000000	21.099413	78.089253	23.946469	1.557886
4.000000	-28.304789	0.000000	74.175620	-77.236793	-0.025284	-0.022888	-0.002397	1.514068	0.311058	0.005830	0.744966	0.105922	-0.006818	0.010815	0.313528	-0.112574	-0.108061	0.307405	0.012773	0.104904	6.044620	0.000008	0.685398	0.000004	0.314590	0.628778	0.136137	0.074746	515.050275	11.624945	11.618031	11.616631	135.000000	21.046178	78.072886	23.942879	1.557499
5.000000	4.192009	0.000000	-13.478424	-3.150897	-3.631397	-3.283841	-0.347556	7.787638	8.881758	0.146182	2.286785	0.008183	-0.008971	0.015833	0.337751	-0.074370	-0.079031	0.648339	0.013453	0.162573	6.006677	0.000012	0.683518	0.000006	0.316464	3.732601	0.159000	0.075245	515.135306	11.619250	11.618988	11.618938	135.000000	21.227716	78.056142	23.939208	1.557103
6.000000	-9.557413	0.000000	-11.008061	-0.283475	-10.336373	-9.406356	-0.930017	4.809004	12.940625	0.215045	2.550252	0.026029	-0.076620	0.021474	0.329521	-0.091211	-0.083212	0.608774	0.017426	1.804679	5.876338	0.000126	0.666081	0.000063	0.333730	14.085239	0.253093	0.078028	515.043179	11.619010	11.618946	11.618952	135.000000	28.556609	78.040304	23.935722	1.556727
7.000000	-18.668465	0.000000	-7.377039	-0.213575	-10.245539	-9.408392	-0.837147	3.301766	10.937458	0.255207	2.456956	0.051793	-0.125535	0.027528	0.322740	-0.101511	-0.085568	0.570244	0.023380	7.770174	5.742452	0.000608	0.626258	0.000362	0.372772	24.239045	0.381643	0.082361	513.526706	11.619034	11.618931	11.618935	135.000000	56.079273	78.033606	23.934151	1.556553
8.000000	-25.224889	0.000000	-5.808230	-0.192479	-7.785533	-7.232990	-0.552544	2.444793	8.041725	0.277026	2.298761	0.084151	-0.170538	0.033321	0.316747	-0.108967	-0.086883	0.538459	0.031035	18.244292	5.559194	0.001540	0.569136	0.001158	0.428165	35.298283	0.540220	0.087571	508.530479	11.619057	11.618923	11.618926	135.000000	91.550898	78.042452	23.935816	1.556719
9.000000	-30.459345	0.000000	-4.662619	-0.158491	-5.377225	-5.068127	-0.309098	1.840674	5.331809	0.282951	2.110878	0.126839	-0.228088	0.039962	0.310667	-0.115442	-0.086839	0.526834	0.044456	36.545907	5.182632	0.003205	0.490732	0.003284	0.502779	54.763694	0.791586	0.095396	497.807472	11.619084	11.618924	11.618923	135.000000	116.068496	78.068113	23.940970	1.557251
10.000000	-34.726023	0.000000	-3.827006	-0.118717	-3.777153	-3.608864	-0.168289	1.453238	3.476507	0.278431	1.941292	0.172704	-0.295002	0.045415	0.305330	-0.120454	-0.085812	0.520152	0.066358	60.268297	4.606770	0.006003	0.384147	0.009383	0.600467	84.157031	1.202346	0.108227	478.650905	11.619114	11.618933	11.618929	135.000000	119.879980	78.098794	23.947185	1.557895
11.000000	-38.249414	0.000000	-3.191484	-0.081243	-2.709917	-2.619967	-0.089950	1.180930	2.242344	0.269135	1.788565	0.221392	-0.360650	0.048468	0.300455	-0.124605	-0.085356	0.484409	0.094745	74.468438	4.073596	0.008532	0.267513	0.022375	0.701580	103.484220	1.688257	0.124625	451.677875	11.619148	11.618953	11.618946	135.000000	119.946791	78.130001	23.953518	1.558551
12.000000	-41.218974	0.000000	-2.738646	-0.054382	-2.005722	-1.956584	-0.049138	0.986587	1.469834	0.258077	1.655835	0.270206	-0.407832	0.049735	0.296095	-0.128035	-0.086104	0.423822	0.118638	70.139707	3.826795	0.008641	0.178127	0.037626	0.775606	98.059723	2.056631	0.138527	423.904648	11.619184	11.618980	11.618970	135.000000	119.943477	78.160464	23.959707	1.559193
13.000000	-43.793767	0.000000	-2.384812	-0.033037	-1.455845	-1.430285	-0.025560	0.820088	0.925451	0.244561	1.521035	0.326784	-0.441993	0.050311	0.291489	-0.131416	-0.087793	0.349064	0.136608	56.644255	3.746073	0.007319	0.123610	0.048595	0.820476	81.753396	2.268956	0.147670	400.820877	11.619223	11.619012	11.619001	135.000000	119.921761	78.195163	23.966767	1.559926
